timestamp,points,attempts,success,http_status,latency_ms,error
2025-10-08T14:09:01.9052356Z,50000,3,1,0,6000,""
2025-10-08T14:09:19.8911777Z,50000,3,1,0,5970,""
2025-10-08T14:09:37.9181411Z,50000,3,1,0,5992,""
2025-10-08T14:09:55.9878783Z,50000,3,1,0,6079,""
2025-10-08T14:10:13.9062703Z,50000,3,1,0,5988,""
2025-10-08T14:10:31.9110500Z,50000,3,1,0,5997,""
2025-10-08T14:10:49.9630865Z,50000,3,1,0,6047,""
2025-10-08T14:11:07.9047905Z,50000,3,1,0,5985,""
2025-10-08T14:11:25.9042088Z,50000,3,1,0,6005,""
2025-10-08T14:11:43.9070270Z,50000,3,1,0,5978,""
2025-10-08T14:12:01.9096096Z,50000,3,1,0,6002,""
2025-10-08T14:12:19.8920573Z,50000,3,1,0,5980,""
2025-10-08T14:12:37.9094066Z,50000,3,1,0,5989,""
2025-10-08T14:12:55.9060335Z,50000,3,1,0,5975,""
2025-10-08T14:13:13.9107000Z,50000,3,1,0,5992,""
2025-10-08T14:13:31.9786037Z,50000,3,1,0,6068,""
2025-10-08T14:13:49.9207585Z,50000,3,1,0,6000,""
2025-10-08T14:14:07.9080710Z,50000,3,1,0,5990,""
2025-10-08T14:14:25.9785097Z,50000,3,1,0,6087,""
2025-10-08T14:14:43.8941308Z,50000,3,1,0,5979,""
2025-10-08T14:15:01.9077011Z,50000,3,1,0,5991,""
2025-10-08T14:15:19.9642830Z,50000,3,1,0,6002,""
2025-10-08T14:15:37.9223380Z,50000,3,1,0,6001,""
2025-10-08T14:15:55.9182033Z,50000,3,1,0,6016,""
2025-10-08T14:16:13.9023798Z,50000,3,1,0,5984,""
2025-10-08T14:16:31.9116255Z,50000,3,1,0,5992,""
2025-10-08T14:16:49.9073705Z,50000,3,1,0,5995,""
2025-10-08T14:17:07.9127983Z,50000,3,1,0,5998,""
2025-10-08T14:17:25.9074514Z,50000,3,1,0,6005,""
2025-10-08T14:17:43.9049365Z,50000,3,1,0,5993,""
2025-10-08T14:18:01.9225750Z,50000,3,1,0,5947,""
2025-10-08T14:18:19.8809808Z,50000,3,1,0,5972,""
2025-10-08T14:18:37.9061501Z,50000,3,1,0,5980,""
2025-10-08T14:18:55.8943720Z,50000,3,1,0,5926,""
2025-10-08T14:19:13.9151756Z,50000,3,1,0,5992,""
2025-10-08T14:19:31.9074001Z,50000,3,1,0,6000,""
2025-10-08T14:19:49.9163824Z,50000,3,1,0,5995,""
2025-10-08T14:20:07.9882109Z,50000,3,1,0,6002,""
2025-10-08T14:20:25.9038799Z,50000,3,1,0,6011,""
2025-10-08T14:20:42.1369870Z,50000,2,1,0,5899,""
2025-10-08T14:20:43.2722691Z,50000,0,0,0,0,""
2025-10-08T14:20:44.1115056Z,50000,0,0,0,0,""
2025-10-08T14:20:45.0056560Z,50000,0,0,0,0,""
2025-10-08T14:20:45.9011451Z,50000,0,0,0,0,""
2025-10-08T14:20:46.7334022Z,50000,0,0,0,0,""
2025-10-08T14:20:47.7381356Z,50000,0,0,0,0,""
2025-10-08T14:20:48.7306375Z,50000,0,0,0,0,""
2025-10-08T14:20:49.6210295Z,50000,0,0,0,0,""
2025-10-08T14:20:50.4739312Z,50000,0,0,0,0,""
2025-10-08T14:20:51.4163527Z,50000,0,0,0,0,""
2025-10-08T14:20:52.2167363Z,50000,0,0,0,0,""
2025-10-08T14:20:53.1349762Z,50000,0,0,0,0,""
2025-10-08T14:20:54.1181832Z,50000,0,0,0,0,""
2025-10-08T14:20:55.0293164Z,50000,0,0,0,0,""
2025-10-08T14:20:55.9310886Z,50000,0,0,0,0,""
2025-10-08T14:20:56.8062598Z,50000,0,0,0,0,""
2025-10-08T14:20:57.6899595Z,50000,0,0,0,0,""
2025-10-08T14:20:58.6859078Z,50000,0,0,0,0,""
2025-10-08T14:20:59.6021785Z,50000,0,0,0,0,""
2025-10-08T14:21:00.6331248Z,50000,0,0,0,0,""
2025-10-08T14:21:01.5874317Z,50000,0,0,0,0,""
2025-10-08T14:21:02.5187586Z,50000,0,0,0,0,""
2025-10-08T14:21:03.3171193Z,50000,0,0,0,0,""
2025-10-08T14:21:04.1761520Z,50000,0,0,0,0,""
2025-10-08T14:21:05.1542185Z,50000,0,0,0,0,""
2025-10-08T14:21:06.0718945Z,50000,0,0,0,0,""
2025-10-08T14:21:07.0711190Z,50000,0,0,0,0,""
2025-10-08T14:21:07.9910991Z,50000,0,0,0,0,""
2025-10-08T14:21:08.8741708Z,50000,0,0,0,0,""
2025-10-08T14:21:09.7740235Z,50000,0,0,0,0,""
2025-10-08T14:21:10.6318930Z,50000,0,0,0,0,""
2025-10-08T14:21:11.5439720Z,50000,0,0,0,0,""
2025-10-08T14:21:12.4006652Z,50000,0,0,0,0,""
2025-10-08T14:21:13.4083974Z,50000,0,0,0,0,""
2025-10-08T14:21:14.2659731Z,50000,0,0,0,0,""
2025-10-08T14:21:15.2153472Z,50000,0,0,0,0,""
2025-10-08T14:21:16.0945173Z,50000,0,0,0,0,""
2025-10-08T14:21:16.9787382Z,50000,0,0,0,0,""
2025-10-08T14:21:17.8376120Z,50000,0,0,0,0,""
2025-10-08T14:21:18.8102335Z,50000,0,0,0,0,""
2025-10-08T14:21:19.7227180Z,50000,0,0,0,0,""
2025-10-08T14:21:20.6579456Z,50000,0,0,0,0,""
2025-10-08T14:21:21.5657874Z,50000,0,0,0,0,""
2025-10-08T14:21:22.4494858Z,50000,0,0,0,0,""
2025-10-08T14:21:23.4144683Z,50000,0,0,0,0,""
2025-10-08T14:21:24.3497773Z,50000,0,0,0,0,""
2025-10-08T14:21:25.2765315Z,50000,0,0,0,0,""
2025-10-08T14:21:26.2307684Z,50000,0,0,0,0,""
2025-10-08T14:21:27.1349158Z,50000,0,0,0,0,""
2025-10-08T14:21:28.1271950Z,50000,0,0,0,0,""
2025-10-08T14:21:29.0071820Z,50000,0,0,0,0,""
2025-10-08T14:21:29.9269106Z,50000,0,0,0,0,""
2025-10-08T14:21:30.8639239Z,50000,0,0,0,0,""
2025-10-08T14:21:31.7310683Z,50000,0,0,0,0,""
2025-10-08T14:21:32.5732926Z,50000,0,0,0,0,""
2025-10-08T14:21:33.4744181Z,50000,0,0,0,0,""
2025-10-08T14:21:34.4060450Z,50000,0,0,0,0,""
2025-10-08T14:21:35.3296424Z,50000,0,0,0,0,""
2025-10-08T14:21:36.2239483Z,50000,0,0,0,0,""
2025-10-08T14:21:36.7084440Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:37.1668093Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:37.7702959Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:38.2214128Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:38.6898783Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:39.1516235Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:39.6277053Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:40.0577920Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:40.4530874Z,50000,3,0,0,0,"Connection refused (influxdb:8086)"
2025-10-08T14:21:58.5823095Z,50000,4,1,0,6022,""
2025-10-08T14:22:16.7644372Z,50000,3,1,0,6107,""
2025-10-08T14:22:34.7144030Z,50000,3,1,0,6147,""
2025-10-08T14:22:52.5917148Z,50000,3,1,0,6032,""
2025-10-08T14:23:10.8766974Z,50000,3,1,0,6206,""
2025-10-08T14:23:28.6086980Z,50000,3,1,0,6042,""
2025-10-08T14:23:46.5810766Z,50000,3,1,0,5942,""
2025-10-08T14:24:04.5646693Z,50000,3,1,0,5995,""
4:04.5636856Z,50000,3,1,0,5995,""
