ts,batch,status,lat_ms
1759911369.712231,134,204,59997.907876968384
1759911369.712292,130,204,59998.05235862732
1759911369.7123668,133,204,59998.061656951904
1759911369.7124262,143,204,59988.6040687561
1759911369.7124784,142,204,59988.70229721069
1759911369.7125273,131,204,59998.26169013977
1759911369.7125797,140,204,59988.84677886963
1759911369.7126257,129,204,59998.45504760742
1759911429.7020257,152,204,59965.463638305664
1759911429.704313,158,204,59967.72217750549
1759911429.7044845,146,204,59968.16039085388
1759911429.7046227,148,204,59968.23763847351
1759911429.7047443,144,204,59992.011308670044
1759911429.7048671,150,204,59968.42622756958
1759911429.704955,145,204,59968.7283039093
1759911429.7050316,157,204,59968.459129333496
1759911429.7051306,154,204,59968.610763549805
1759911429.7052126,156,204,59968.65797042847
1759911429.7052717,147,204,59968.920946121216
1759911429.70534,155,204,59968.80221366882
1759911429.705403,151,204,59968.945026397705
1759911429.7054722,153,204,59968.979835510254
1759911429.7055295,159,204,59968.926191329956
1759911429.705597,149,204,59969.186305999756
1759911489.7096925,175,204,59976.65190696716
1759911489.7135596,164,204,59980.82876205444
1759911489.7137072,171,204,59980.793476104736
1759911489.7138076,162,204,59981.14728927612
1759911489.7139575,160,204,60008.20446014404
1759911489.7140448,169,204,59981.16874694824
1759911489.714118,161,204,59981.544971466064
1759911489.7142618,163,204,59981.55999183655
1759911489.714357,173,204,59981.409788131714
1759911489.7144637,172,204,59981.534481048584
1759911489.7145197,168,204,59981.66298866272
1759911489.7145884,174,204,59981.62317276001
1759911489.7146573,166,204,59981.88900947571
1759911489.7147336,170,204,59981.84037208557
1759911489.7148004,165,204,59982.051610946655
1759911489.7148638,167,204,59982.03468322754
1759911549.7023857,191,204,59960.3009223938
1759911549.7063224,184,204,59964.49828147888
1759911549.7065008,182,204,59964.723110198975
1759911549.7066073,176,204,59991.6615486145
1759911549.7066925,185,204,59964.84971046448
1759911549.7067873,180,204,59965.05546569824
1759911549.706886,177,204,59965.35849571228
1759911549.7069695,183,204,59965.17014503479
1759911549.7071326,188,204,59965.229749679565
1759911549.7074213,189,204,59965.5020236969
1759911549.707503,179,204,59965.80171585083
1759911549.7075799,186,204,59965.718269348145
1759911549.7076697,181,204,59965.916872024536
1759911549.7077422,190,204,59965.80386161804
1759911549.7078085,187,204,59965.927600860596
1759911549.7078717,178,204,59966.21608734131
1759911609.715377,193,204,59979.384660720825
1759911609.7191007,197,204,59983.02984237671
1759911609.7192373,199,204,59983.12425613403
1759911609.7193618,192,204,60011.3787651062
1759911609.719476,204,204,59983.259201049805
1759911609.7196105,195,204,59983.59251022339
1759911609.7197678,198,204,59983.67357254028
1759911609.7198653,205,204,59983.62708091736
1759911609.7199907,203,204,59983.79302024841
1759911609.7200794,207,204,59983.81042480469
1759911609.7201552,201,204,59984.00592803955
1759911609.7202542,196,204,59984.206676483154
1759911609.7203212,202,204,59984.156131744385
1759911609.720392,200,204,59984.262466430664
1759911609.7204552,206,204,59984.2050075531
1759911609.7205102,194,204,59984.53736305237
1759911669.709661,219,204,59961.583614349365
1759911669.7127745,218,204,59964.77127075195
1759911669.7128859,212,204,59965.01398086548
1759911669.712956,208,204,59992.310762405396
1759911669.7130446,209,204,59965.33131599426
1759911669.7131035,213,204,59965.203523635864
1759911669.7131605,216,204,59965.198040008545
1759911669.7132595,211,204,59965.420722961426
1759911669.713356,215,204,59965.412616729736
1759911669.7134273,220,204,59965.388774871826
1759911669.7134745,221,204,59965.41881561279
1759911669.7135324,217,204,59965.54708480835
1759911669.7135842,210,204,59965.795040130615
1759911669.7136252,223,204,59965.53325653076
1759911669.7136652,214,204,59965.74354171753
